ID,日期,總移動距離,總時間,總爬升高度,總下降高度
shao_8830,2025/06/25 - 2025/07/01・7 日・,88.5 km,63 h 24 m,"6,679 m","7,908 m"
a29751765,2025/07/05・1 日・,11.7 km,5 h 53 m,824 m,824 m
wenkuochung169856886,2025/07/04・1 日・,5.5 km,3 h 13 m,468 m,451 m
jiaruitwee02,2025/07/05・1 日・,7 km,5 h 19 m,535 m,540 m
bill1256341,2022/04/10・1 日・,19 km,11 h 31 m,"1,589 m","1,821 m"
85006,2024/06/23・1 日・,10.5 km,8 h 49 m,442 m,"1,811 m"
may85858585,2025/01/12・1 日・,17.5 km,9 h 33 m,"2,058 m","2,063 m"
yachi1118,2023/04/14・1 日・,12.6 km,12 h 11 m,514 m,"1,898 m"
hueyi.lin,2020/11/15・1 日・,24.2 km,12 h 38 m,"2,470 m","2,540 m"
bryant00814,2023/04/22・1 日・,17.7 km,16 h 2 m,"2,087 m","2,088 m"
ps89517,2023/07/02・1 日・,15.5 km,11 h 43 m,"1,979 m","1,861 m"
chen1987760918,2020/11/15・1 日・,23.1 km,12 h 38 m,"1,846 m","2,152 m"
ritaych,2021/10/10・1 日・,25.4 km,16 h 40 m,"2,544 m","2,533 m"
shian1006,2020/11/29・1 日・,25.9 km,17 h 50 m,"3,642 m","3,596 m"
weichitsao130,2022/07/24・1 日・,18.7 km,11 h 28 m,"1,895 m","1,883 m"
shao_8830,2025/06/25 - 2025/07/01・7 日・,88.5 km,63 h 24 m,"6,679 m","7,908 m"
a29751765,2025/07/05・1 日・,11.7 km,5 h 53 m,824 m,824 m
wenkuochung169856886,2025/07/04・1 日・,5.5 km,3 h 13 m,468 m,451 m
jiaruitwee02,2025/07/05・1 日・,7 km,5 h 19 m,535 m,540 m
f61248,2020/07/11・1 日・,26.4 km,18 h 19 m,"2,898 m","2,902 m"
jl8216133,2023/09/24・1 日・,25.1 km,15 h 35 m,"2,587 m","2,577 m"
z8w9zvkgtr,2025/05/18・1 日・,18.8 km,12 h 59 m,"1,983 m","1,973 m"
coloco2,2024/08/13・1 日・,11.5 km,9 h 32 m,"1,487 m","1,644 m"
tshgogogo,2021/11/15・1 日・,9 km,9 h 24 m,"1,352 m",335 m
awei321,2023/08/13・1 日・,16.3 km,12 h 47 m,"1,715 m","1,723 m"
cythia1030,2022/11/19・1 日・,15.9 km,12 h 33 m,"1,759 m","1,836 m"
locust1986,2019/02/28・1 日・,18.9 km,16 h 36 m,"5,932 m","6,001 m"
wengtukako,2022/03/05・1 日・,13.2 km,10 h 45 m,"1,628 m","1,556 m"
shian1006,2021/08/28・1 日・,18.5 km,10 h 46 m,"2,151 m","2,157 m"
x5826285,2021/02/21・1 日・,9.8 km,10 h 29 m,"1,471 m","1,376 m"
shao_8830,2025/06/25 - 2025/07/01・7 日・,88.5 km,63 h 24 m,"6,679 m","7,908 m"
a29751765,2025/07/05・1 日・,11.7 km,5 h 53 m,824 m,824 m
wenkuochung169856886,2025/07/04・1 日・,5.5 km,3 h 13 m,468 m,451 m
jiaruitwee02,2025/07/05・1 日・,7 km,5 h 19 m,535 m,540 m
vickychen0421,2021/04/10・1 日・,13.1 km,13 h 8 m,"1,575 m","1,513 m"
1allenchen1,2020/11/08・1 日・,11 km,4 h 15 m,744 m,785 m
morris,2020/10/17・1 日・,17.8 km,9 h 38 m,"2,036 m","2,055 m"
zengchin,2025/05/17・1 日・,14 km,8 h 3 m,"1,167 m","1,171 m"
bimeci11,2024/07/11・1 日・,8.9 km,8 h 9 m,"1,497 m",108 m
yuan1215,2023/04/29・1 日・,16.9 km,11 h 7 m,"1,883 m","1,890 m"
a0983145505,2023/06/23・1 日・,20.5 km,10 h 26 m,"2,242 m","2,257 m"
a781336,2022/06/05・1 日・,18.8 km,11 h 58 m,"1,578 m","1,395 m"
asdzxc1208,2022/04/04・1 日・,15.3 km,12 h 6 m,"1,823 m","1,720 m"
crazyboy0926,2021/09/27・1 日・,10.3 km,10 h 59 m,"1,488 m","1,493 m"
s80417,2020/09/12・1 日・,14.4 km,11 h 12 m,"2,009 m",882 m
shao_8830,2025/06/25 - 2025/07/01・7 日・,88.5 km,63 h 24 m,"6,679 m","7,908 m"
a29751765,2025/07/05・1 日・,11.7 km,5 h 53 m,824 m,824 m
wenkuochung169856886,2025/07/04・1 日・,5.5 km,3 h 13 m,468 m,451 m
jiaruitwee02,2025/07/05・1 日・,7 km,5 h 19 m,535 m,540 m
tzucheng.liu,2023/05/27・1 日・,15.2 km,9 h 8 m,"1,466 m","1,674 m"
mtenderness8,2025/06/22・1 日・,23.1 km,11 h 45 m,"1,970 m","1,970 m"
e0922296999,2024/09/11・1 日・,17.2 km,11 h 33 m,"2,057 m","2,048 m"
wkw0427,2023/08/27・1 日・,17.2 km,10 h 27 m,"1,770 m","1,756 m"
hikingrabbit0310,2023/06/10・1 日・,11.9 km,11 h 42 m,"1,534 m","1,530 m"
hueyi.lin,2023/03/04・1 日・,25.2 km,13 h 13 m,"2,246 m","2,389 m"
yachi1118,2023/04/13・1 日・,5.8 km,11 h 23 m,"1,411 m",42 m
7155jenny,2022/07/10・1 日・,18.5 km,16 h 2 m,"1,849 m","1,840 m"
ping92301624689871,2021/09/29・1 日・,13.3 km,10 h 8 m,"1,539 m","1,476 m"
weichitsao130,2021/09/19・1 日・,19.1 km,12 h 59 m,"1,845 m","1,755 m"
kentwu15,2021/04/11・1 日・,19.6 km,15 h 25 m,"2,126 m","2,161 m"
shao_8830,2025/06/25 - 2025/07/01・7 日・,88.5 km,63 h 24 m,"6,679 m","7,908 m"
a29751765,2025/07/05・1 日・,11.7 km,5 h 53 m,824 m,824 m
wenkuochung169856886,2025/07/04・1 日・,5.5 km,3 h 13 m,468 m,451 m
jiaruitwee02,2025/07/05・1 日・,7 km,5 h 19 m,535 m,540 m
huangyoyo10127410,2021/04/24・1 日・,16.2 km,13 h 14 m,"1,752 m","1,832 m"
purchasehuang,2019/12/14・1 日・,11.1 km,10 h 28 m,"1,498 m","1,514 m"
awei321,2022/04/25・1 日・,11.1 km,11 h 50 m,"1,459 m","1,460 m"
8hsq8warvi,2024/05/28・1 日・,20.7 km,20 h 12 m,"2,290 m","2,282 m"
tc21lin,2023/10/15・1 日・,10.6 km,2 h 57 m,614 m,715 m
willis0919,2020/06/18・1 日・,21.7 km,15 h 39 m,"2,356 m","2,680 m"
tw00533118,2022/03/19・1 日・,16.5 km,9 h 35 m,"1,756 m","1,782 m"
steven56525,2024/11/20・1 日・,16.7 km,12 h 40 m,"1,995 m","1,996 m"
a0960013892,2024/07/05・1 日・,9.6 km,9 h 47 m,877 m,770 m
edison740115,2021/10/16・1 日・,10.9 km,9 h 18 m,"1,472 m","1,481 m"
hmgzt698xk,2024/06/08・1 日・,19 km,14 h 52 m,"1,997 m","2,004 m"
shao_8830,2025/06/25 - 2025/07/01・7 日・,88.5 km,63 h 24 m,"6,679 m","7,908 m"
a29751765,2025/07/05・1 日・,11.7 km,5 h 53 m,824 m,824 m
wenkuochung169856886,2025/07/04・1 日・,5.5 km,3 h 13 m,468 m,451 m
jiaruitwee02,2025/07/05・1 日・,7 km,5 h 19 m,535 m,540 m
hugo_hy,2022/10/01・1 日・,11.8 km,8 h 27 m,"1,495 m","1,474 m"
rchenibm1679794655,2023/05/01・1 日・,8.4 km,2 h 21 m,396 m,393 m
linjunyou1008,2022/10/02・1 日・,17.2 km,9 h 58 m,"1,907 m","1,913 m"
thomasc5270,2023/04/08・1 日・,13.1 km,12 h 53 m,"1,556 m","1,551 m"
kuots0109,2022/10/11・1 日・,11.7 km,9 h 33 m,"1,637 m","1,548 m"
jihchun1650271710,2022/08/12・1 日・,11.4 km,10 h 37 m,410 m,"1,791 m"
soigonotsuki,2022/04/06・1 日・,17.3 km,14 h 9 m,"1,941 m","1,883 m"
heidi700,2021/01/31・1 日・,9.5 km,4 h,445 m,470 m
vaspa0216,2020/11/15・1 日・,16.7 km,9 h 50 m,"2,402 m","2,368 m"
evita.huang,2018/09/29・1 日・,9.1 km,11 h 46 m,"1,328 m","1,329 m"
xia0meng,2025/01/04・1 日・,11.6 km,9 h 10 m,"1,488 m","1,522 m"
shao_8830,2025/06/25 - 2025/07/01・7 日・,88.5 km,63 h 24 m,"6,679 m","7,908 m"
a29751765,2025/07/05・1 日・,11.7 km,5 h 53 m,824 m,824 m
wenkuochung169856886,2025/07/04・1 日・,5.5 km,3 h 13 m,468 m,451 m
jiaruitwee02,2025/07/05・1 日・,7 km,5 h 19 m,535 m,540 m
f428560,2021/05/15・1 日・,16.8 km,15 h 23 m,"1,807 m","1,808 m"
e0910520435,2020/12/20・1 日・,11.7 km,9 h 31 m,419 m,"1,798 m"
yxnsfwtvcb1682244809,2025/06/10・1 日・,11.1 km,6 h 56 m,"1,474 m","1,478 m"
bblueleee,2025/05/17・1 日・,12.1 km,7 h 47 m,"1,528 m","1,532 m"
love062321,2022/11/30・1 日・,21 km,14 h 15 m,"2,078 m","2,069 m"
lovelywen2000,2022/08/14・1 日・,10.8 km,10 h 28 m,"1,529 m","1,524 m"
vzgfgmb4y8,2025/03/23・1 日・,18.4 km,14 h 18 m,"1,923 m","1,918 m"
jh5t2n9jr9,2025/03/04・1 日・,15 km,1 h 46 m,335 m,758 m
kaku6174,2024/12/22・1 日・,14.5 km,9 h 47 m,"1,646 m","1,649 m"
melody0120h,2022/06/26・1 日・,12 km,12 h 7 m,"1,526 m","1,535 m"
wlphg0116,2023/06/23・1 日・,16.2 km,12 h 35 m,"2,023 m","1,933 m"
shao_8830,2025/06/25 - 2025/07/01・7 日・,88.5 km,63 h 24 m,"6,679 m","7,908 m"
a29751765,2025/07/05・1 日・,11.7 km,5 h 53 m,824 m,824 m
wenkuochung169856886,2025/07/04・1 日・,5.5 km,3 h 13 m,468 m,451 m
jiaruitwee02,2025/07/05・1 日・,7 km,5 h 19 m,535 m,540 m
pdg6kv49mh,2024/10/11・1 日・,17.6 km,10 h 19 m,"1,892 m","1,985 m"
bimeci11,2024/07/12・1 日・,7.1 km,6 h 42 m,490 m,497 m
c881108252002,2024/07/02・1 日・,15.5 km,10 h 29 m,"2,014 m","1,248 m"
classic-222,2017/09/21・1 日・,7.5 km,10 h 13 m,"1,169 m",634 m
eddielin12345,2024/05/19・1 日・,12.2 km,6 h 22 m,"1,611 m","1,599 m"
rogerkuma0109,2024/05/11・1 日・,9.4 km,6 h 13 m,"1,387 m","1,390 m"
